id,TopSpeakerYN,LineArrayYN,DelayLineYN,SW_Broadside,SW_Gradient,SW_Endfire,SWArrayTypes_cat,SWArrayPosition_cat,CenterArrayYN,SubWooferPairs,LineArrayPairs,TopSpeakerPairs
13,1,0,1,1,0,0,['Broadside'],['cen'],1,2.0,0.0,2.0
14,1,0,0,0,0,0,[],['lr'],0,1.0,0.0,1.0
16,1,0,0,0,0,0,[],['lr'],0,1.0,0.0,1.0
17,1,0,0,0,0,0,[],['lr'],0,1.0,0.0,1.0
19,1,0,0,0,0,0,[],['lr'],0,1.0,0.0,2.0
25,1,0,0,0,0,0,[],['lr'],0,2.0,0.0,1.0
31,1,0,1,1,1,1,['Endfire'],['cen'],1,4.0,0.0,4.0
32,1,1,0,0,1,0,['Gradient'],['cen'],1,4.0,3.0,2.0
34,1,0,0,1,1,0,['Gradient'],['cen'],1,2.0,0.0,1.0
35,1,0,0,0,0,0,[],['lr'],0,2.0,0.0,2.0
58,1,1,0,1,0,0,['Broadside'],['lr'],0,4.0,1.0,1.0
60,1,0,0,0,1,0,['Gradient'],['cen'],1,2.0,0.0,1.0
64,1,1,0,1,1,0,['Gradient'],['cen'],1,2.0,1.0,1.0
69,1,1,1,0,1,0,['Gradient'],['cen'],1,2.0,3.0,2.0
71,1,1,1,0,1,0,['Gradient'],['cen'],1,4.0,4.0,4.0
72,0,0,0,1,0,0,['Broadside'],['lr'],0,2.0,0.0,0.0
74,0,1,0,0,1,0,['Gradient'],['cen'],1,1.0,1.0,0.0
78,1,0,0,1,0,0,['Broadside'],['cen'],1,3.0,0.0,1.0
82,1,1,0,0,1,1,['Endfire'],['cen'],1,4.0,1.0,2.0
88,1,1,0,0,0,0,[],['lr'],0,2.0,1.0,2.0
90,1,0,0,0,0,0,[],['lr'],0,1.0,0.0,1.0
97,1,0,0,1,0,1,['Endfire'],['cen'],1,4.0,0.0,2.0
99,1,0,0,0,1,1,['Endfire'],['cen'],1,2.0,0.0,2.0
100,1,0,0,1,0,0,['Broadside'],['lr'],0,1.0,0.0,1.0
103,1,1,1,1,1,1,['Endfire'],['cen'],1,4.0,2.0,2.0
105,1,0,0,0,0,0,[],[],0,0.0,0.0,1.0
107,1,0,0,0,0,0,[],['lr'],0,,0.0,1.0
110,1,0,0,1,0,0,['Broadside'],['cen'],1,,0.0,1.0
111,1,0,0,0,0,0,[],['lr'],0,,0.0,2.0
112,1,0,0,0,0,0,[],['lr'],0,1.0,0.0,1.0
113,1,0,0,1,1,0,['Gradient'],['cen'],1,2.0,0.0,2.0
115,1,0,0,0,0,0,[],['lr'],0,,0.0,1.0
117,1,0,0,0,0,0,[],['lr'],0,2.0,0.0,2.0
121,1,0,0,0,0,0,[],['lr'],0,,0.0,1.0
122,0,0,0,0,0,0,[],[],0,0.0,0.0,0.0
125,1,0,0,1,0,0,['Broadside'],['cen'],1,1.0,0.0,1.0
131,1,0,0,1,0,0,['Broadside'],['cen'],1,1.0,0.0,1.0
132,1,0,0,1,0,0,['Broadside'],['lr'],0,1.0,0.0,1.0
134,1,0,1,1,1,1,['Endfire'],['cen'],1,4.0,0.0,4.0
135,1,1,0,0,1,1,['Endfire'],['cen'],1,4.0,1.0,1.0
138,1,0,1,0,0,0,[],['lr'],0,1.0,0.0,2.0
139,1,0,1,0,1,0,['Gradient'],['cen'],1,4.0,0.0,2.0
142,1,1,1,0,0,0,[],['lr'],0,,1.0,3.0
146,1,0,0,1,1,1,['Endfire'],['cen'],1,4.0,0.0,2.0
148,1,0,0,1,0,0,['Broadside'],['cen'],1,1.0,0.0,1.0
152,1,0,0,0,0,0,[],['lr'],0,,0.0,1.0
154,1,0,0,1,1,0,['Gradient'],['lr'],0,2.0,0.0,1.0
155,1,0,0,0,0,0,[],['lr'],0,2.0,0.0,4.0
157,1,0,0,1,0,0,['Broadside'],['lr'],0,2.0,0.0,2.0
158,1,0,0,0,0,0,[],['lr'],0,,0.0,4.0
159,1,0,1,0,0,0,[],['lr'],0,2.0,0.0,2.0
161,1,0,0,0,0,0,[],['lr'],0,1.0,0.0,2.0
164,1,0,0,0,0,0,[],['lr'],0,3.0,0.0,1.0
165,0,1,0,0,0,0,[],['lr'],0,,1.0,0.0
166,1,1,0,0,0,0,[],['lr'],0,1.0,1.0,1.0
